gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	403.168006654531	3293.31049721503	1713.19608826829	1121.08803294345	1071.23990861183
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	251.706621359671	0
tS(AGA)A	tS(AGA)A	185.411797487881	0	0	0	0
YAL001C	TFC3	29.9446074326699	32.0316129780781	53.978733580616	31.9452219580602	15.6019860901928
YAL002W	VPS8	17.6202215866702	13.0556980099242	34.807141708456	30.9230121402263	12.2579116960155
YAL003W	EFB1	2706.59746292668	3200.19660630328	6969.89502554389	5060.16571518436	2962.52816724416
YAL004W	YAL004W	3.62374381628725	0	0	0	3.57716975250485
YAL005C	SSA1	6299.50842991546	4982.05928906739	10787.9436869123	8799.20974245659	4388.3432765967
YAL007C	ERP2	184.810935072465	205.22540445439	503.293609213824	245.746240409677	182.435657219555
YAL008W	FUN14	60.7978118309916	71.4571369411458	104.957220951284	41.6279406885855	15.992770160672
YAL009W	SPO7	45.492730285271	41.2801775057241	54.401176175008	29.2367727299491	14.0444070536879
YAL010C	MDM10	14.5749055029041	14.2068143340878	44.34272214112	40.9350292607863	13.1076451652538
YAL011W	SWC3	10.1825820798754	21.502205409549	34.488783870008	20.9788980800341	17.1291081441017
YAL012W	CYS3	434.774127273555	360.351667850343	865.059852718984	711.874248515289	404.597305275175
YAL013W	DEP1	13.2635448822965	27.1221001316665	54.86851993662	37.5498077966038	16.3966464779072
YAL014C	SYN8	43.501558443267	53.499535064503	123.041066990556	95.4215266271003	51.5674244028369
YAL015C	NTG1	21.9289723687539	18.4239950317877	44.726507236892	15.6286057338875	10.00922922392
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	151.106914566837	141.633998264353	297.460560234188	205.145923168927	104.965800267886
YAL017W	PSK1	45.513547081801	43.1347782456495	82.209851358128	47.3720798687485	26.505539390639
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	56.6475289235383	51.4624460417568	114.801825588632	106.757118458597	45.9303352172641
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	25.0443815186401	15.5166625481131	36.32329384502	25.7714257845289	4.12650029170775
YAL021C	CCR4	79.4238298841389	65.7127911360028	134.725620023644	107.845366445617	60.2439548402795
YAL022C	FUN26	52.7599915489955	40.2671669800521	98.917217586772	72.4493156648982	33.5549724866689
YAL023C	PMT2	253.120485814626	230.640281536831	491.133873006088	372.934744571096	205.632071930509
YAL024C	LTE1	21.0335472738621	18.6903513115998	37.021474120384	30.7862467423589	19.5746925545289
YAL025C	MAK16	43.9157575155378	63.0378867594771	122.12421884728	121.273863656725	47.975986839276
YAL026C	DRS2	54.9261952312999	63.4159244718357	125.195960308484	84.4290879312463	55.1037888848738
YAL026C-A	YAL026C-A	76.8473890854937	85.3416428547704	153.452068931616	95.49594471854	33.7171791227926
YAL027W	SAW1	30.9728980664069	27.2120573097158	56.623376634864	14.4769978965561	5.56341197343687
YAL028W	FRT2	12.2698881264095	8.72739728712091	21.565163325628	5.05480241116578	4.85567219707029
YAL029C	MYO4	72.5660036818701	61.6196980749805	130.405021862284	103.534854732258	56.8259372341183
YAL030W	SNC1	127.625703396835	182.317972939342	583.647344584876	176.660905536739	80.1132306389038
YAL031C	GIP4	32.1097735726942	28.6978114330558	53.743466310352	31.3873230398044	12.2226599534476
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	26.8635959101037	22.9437391525508	61.382285222752	35.0254609874319	26.5643483739829
YAL033W	POP5	63.7883774769876	64.3485116022034	133.897630919936	95.6410531799714	33.8247741630043
YAL034C	FUN19	29.1764636965084	23.5252624702141	67.308755815756	20.0250206272239	12.8247697901744
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	19.8330576774397	4.70505249404282	61.18977805018	15.3005840813148	14.7002675263666
YAL035W	FUN12	253.771813343468	252.698323485018	477.967791128412	486.413477784994	238.460918696515
YAL036C	RBG1	99.7869004432646	98.3684232505115	259.387738462892	159.768645194157	93.1887252971056
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	2.15680659857431	0	6.279337262744	0	0
YAL037W	YAL037W	10.9446390914419	13.1639555215257	24.652632599868	16.8825357519045	2.70327565865459
YAL038W	CDC19	7551.07569023354	7378.97174016004	16238.4094509442	14253.611464968	8350.0346752045
YAL039C	CYC3	27.1061190483192	44.2779047263411	105.683487953732	33.4506608538942	16.0685765184839
YAL040C	CLN3	38.6926563323774	42.9852081997129	93.510111913556	60.3521877868366	41.5660662591649
YAL041W	CDC24	44.3158622073286	40.9532644748058	91.115940231732	68.8714814669525	36.6722965245427
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	233.727607698717	213.377430826642	440.958801110984	278.796168512869	167.391794414953
YAL043C	PTA1	53.2743163833316	46.3586052270464	96.463884877048	64.7235615995811	33.8395098269003
YAL044C	GCV3	171.145089597497	310.569242172535	703.938368532308	258.134321274677	128.844069640054
YAL044W-A	YAL044W-A	60.9445921324369	52.6953085030558	255.848646456052	93.0673101775797	39.5878800449288
YAL045C	YAL045C	0	0	25.464730442892	0	0
YAL046C	AIM1	17.9615989433809	40.8940128515146	99.275230885324	82.4848133563081	70.2004368005556
YAL047C	SPC72	20.4728786165859	20.7208302423549	37.49243952532	20.0352571969959	14.1808681395516
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	17.2117810507794	17.6135086928195	40.141057228792	24.6272080749095	9.46247503917708
YAL049C	AIM2	88.0617748709961	109.912325875999	200.89189807856	106.143181886779	41.990333960228
YAL051W	OAF1	23.4069847638968	29.2318049012229	61.874832501248	50.0550103593518	22.5913536838228
YAL053W	FLC2	92.48945670831	89.512392180637	186.981056185664	113.371685828421	53.6605165401127
YAL054C	ACS1	3.52847552899206	3.85456201186542	5.614453213824	3.63530910261946	0.872984766686254
YAL055W	PEX22	27.8036068460506	4.97804186629091	25.89601506596	9.51122253842795	9.13328266796573
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	43.6231769788122	29.8661709352755	83.707002153424	54.3774823609185	27.1604808073457
YAL058W	CNE1	29.8614884152347	31.2798167763241	57.855688362628	54.8201102047287	35.9636173249841
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	66.4713050892429	86.239136613863	163.843888169416	128.999107249002	76.5443905652549
YAL060W	BDH1	88.7243018076124	82.744026735969	192.431302098568	80.3692290229045	47.3780949153932
YAL061W	BDH2	48.0904144729112	21.7913287879662	122.428312801964	16.503522836394	7.92708468490815
YAL062W	GDH3	24.5410086756791	15.5718818985183	31.052179139228	40.1343515841555	18.5632278161269
YAL063C	FLO9	1.88253973541377	3.76810098009007	4.11102033342	2.97971301624608	0.490985651639018
