[2024-07-04 09:19:36,276] multiqc                                            [DEBUG  ]  This is MultiQC v1.19
[2024-07-04 09:19:36,286] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2024-07-04 09:19:36,286] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/rnaseq/releases/tag/3.14.0" target="_blank">nf-core/rnaseq</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/rnaseq/3.14.0/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-rnaseq-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-rnaseq-summary': {'order': -1002}}, 'export_plots': True, 'disable_version_detection': True, 'run_modules': ['custom_content', 'fastqc', 'cutadapt', 'fastp', 'sortmerna', 'star', 'hisat2', 'rsem', 'salmon', 'kallisto', 'samtools', 'picard', 'preseq', 'rseqc', 'qualimap'], 'top_modules': ['fail_trimmed_samples', 'fail_mapped_samples', 'fail_strand_check', 'star_rsem_deseq2_pca', 'star_rsem_deseq2_clustering', 'star_salmon_deseq2_pca', 'star_salmon_deseq2_clustering', 'salmon_deseq2_pca', 'salmon_deseq2_clustering', 'biotype_counts', 'dupradar'], 'module_order': [{'fastqc': {'name': 'FastQC (raw)', 'info': 'This section of the report shows FastQC results before adapter trimming.', 'path_filters': ['./fastqc/raw/*.zip']}}, 'cutadapt', 'fastp', {'fastqc': {'name': 'FastQC (trimmed)', 'info': 'This section of the report shows FastQC results after adapter trimming.', 'path_filters': ['./fastqc/trim/*.zip']}}], 'table_columns_visible': {'fastqc': {'percent_duplicates': False}}, 'custom_data': {'fail_trimmed_samples': {'section_name': 'WARNING: Fail Trimming Check', 'description': "List of samples that failed the minimum trimmed reads threshold specified via the '--min_trimmed_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_trimmed_samples_table', 'table_title': 'Samples failed trimming threshold', 'namespace': 'Samples failed trimming threshold', 'format': '{:.0f}'}}, 'fail_mapped_samples': {'section_name': 'WARNING: Fail Alignment Check', 'description': "List of samples that failed the STAR minimum mapped reads threshold specified via the '--min_mapped_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_mapped_samples_table', 'table_title': 'Samples failed mapping threshold', 'namespace': 'Samples failed mapping threshold', 'format': '{:.2f}'}}, 'fail_strand_check': {'section_name': 'WARNING: Fail Strand Check', 'description': "List of samples that failed the strandedness check between that provided in the samplesheet and calculated by the <a href='http://rseqc.sourceforge.net/#infer-experiment-py'>RSeQC infer_experiment.py</a> tool.", 'plot_type': 'table', 'pconfig': {'id': 'fail_strand_check_table', 'table_title': 'Samples failed strandedness check', 'namespace': 'Samples failed strandedness check', 'format': '{:.2f}'}}}}
[2024-07-04 09:19:36,286] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'cutadapt': {'fn': '*trimming_report.txt'}, 'fastp': {'fn': '*.fastp.json'}, 'sortmerna': {'fn': '*.sortmerna.log'}, 'hisat2': {'fn': '*.hisat2.summary.log'}, 'salmon/meta': {'fn': 'meta_info.json'}, 'preseq': {'fn': '*.lc_extrap.txt'}, 'samtools/stats': {'fn': '*.stats'}, 'samtools/flagstat': {'fn': '*.flagstat'}, 'samtools/idxstats': {'fn': '*.idxstats*'}, 'rseqc/bam_stat': {'fn': '*.bam_stat.txt'}, 'rseqc/gene_body_coverage': {'skip': True}, 'rseqc/junction_annotation': {'fn': '*.junction_annotation.log'}, 'rseqc/read_gc': {'skip': True}, 'rseqc/read_distribution': {'fn': '*.read_distribution.txt'}, 'rseqc/infer_experiment': {'fn': '*.infer_experiment.txt'}, 'rseqc/tin': {'fn': '*.summary.txt'}, 'picard/markdups': {'fn': '*.MarkDuplicates.metrics.txt'}, 'picard/alignment_metrics': {'skip': True}, 'picard/basedistributionbycycle': {'skip': True}, 'picard/gcbias': {'skip': True}, 'picard/hsmetrics': {'skip': True}, 'picard/insertsize': {'skip': True}, 'picard/oxogmetrics': {'skip': True}, 'picard/pcr_metrics': {'skip': True}, 'picard/quality_by_cycle': {'skip': True}, 'picard/quality_score_distribution': {'skip': True}, 'picard/quality_yield_metrics': {'skip': True}, 'picard/rnaseqmetrics': {'skip': True}, 'picard/rrbs_metrics': {'skip': True}, 'picard/sam_file_validation': {'skip': True}, 'picard/variant_calling_metrics': {'skip': True}, 'picard/wgs_metrics': {'skip': True}}]
[2024-07-04 09:19:36,286] multiqc                                            [DEBUG  ]  Added to filename clean extensions: [['.umi_dedup', '_val', '.markdup', '_primary']]
[2024-07-04 09:19:36,286] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc -n multiqc_report.html -f .
[2024-07-04 09:19:36,675] multiqc                                            [WARNING]  MultiQC Version v1.22.3 now available!
[2024-07-04 09:19:36,675] multiqc                                            [DEBUG  ]  Working dir : /workspaces/ATAi/work/be/1b19ff0876b17b9c29ce16772db2fa
[2024-07-04 09:19:36,675] multiqc                                            [DEBUG  ]  Template    : default
[2024-07-04 09:19:36,675] multiqc                                            [DEBUG  ]  Running Python 3.11.7 | packaged by conda-forge | (main, Dec 15 2023, 08:38:37) [GCC 12.3.0]
[2024-07-04 09:19:36,676] multiqc                                            [INFO   ]  Only using modules: custom_content, fastqc, cutadapt, fastp, sortmerna, star, hisat2, rsem, salmon, kallisto, samtools, picard, preseq, rseqc, qualimap
[2024-07-04 09:19:36,676] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, hisat2, kallisto, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, sortmerna, star, fastqc, cutadapt, fastp, fastqc
[2024-07-04 09:19:36,676] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmp6xot1rp5
[2024-07-04 09:19:36,677] multiqc                                            [INFO   ]  Search path : /workspaces/ATAi/work/be/1b19ff0876b17b9c29ce16772db2fa
[2024-07-04 09:19:36,678] multiqc                                            [DEBUG  ]  Ignored 256 search patterns as didn't match running modules.
[2024-07-04 09:19:36,678] multiqc                                            [INFO   ]  Skipping 17 file search patterns
[2024-07-04 09:19:36,678] multiqc                                            [DEBUG  ]  Skipping search patterns: picard/alignment_metrics, picard/basedistributionbycycle, picard/gcbias, picard/hsmetrics, picard/insertsize, picard/oxogmetrics, picard/pcr_metrics, picard/quality_by_cycle, picard/quality_score_distribution, picard/quality_yield_metrics, picard/rnaseqmetrics, picard/rrbs_metrics, picard/sam_file_validation, picard/variant_calling_metrics, picard/wgs_metrics, rseqc/gene_body_coverage, rseqc/read_gc
[2024-07-04 09:19:36,730] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_no_match: 213]
[2024-07-04 09:19:38,342] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.8.2
[2024-07-04 09:19:38,347] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.8.2
[2024-07-04 09:19:38,391] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-methods-description: Found 1 sample (html)
[2024-07-04 09:19:38,391] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-summary: Found 1 sample (html)
[2024-07-04 09:19:38,391] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2024-07-04 09:19:38,391] multiqc.modules.custom_content.custom_content      [INFO   ]  biotype-gs: Found 5 General Statistics columns
[2024-07-04 09:19:40,020] multiqc.modules.custom_content.custom_content      [INFO   ]  biotype_counts: Found 5 samples (bargraph)
[2024-07-04 09:19:40,021] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_pca: Found 5 samples (scatter)
[2024-07-04 09:19:40,021] multiqc                                            [DEBUG  ]  multiqc_star_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2024-07-04 09:19:40,022] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_clustering: Found 5 samples (heatmap)
[2024-07-04 09:19:40,022] multiqc                                            [DEBUG  ]  multiqc_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2024-07-04 09:19:40,023] multiqc.modules.custom_content.custom_content      [INFO   ]  salmon_deseq2_clustering: Found 5 samples (heatmap)
[2024-07-04 09:19:40,023] multiqc.modules.custom_content.custom_content      [INFO   ]  salmon_deseq2_pca: Found 5 samples (scatter)
[2024-07-04 09:19:40,023] multiqc.modules.custom_content.custom_content      [INFO   ]  DupInt: Found 5 General Statistics columns
[2024-07-04 09:19:41,471] multiqc.modules.custom_content.custom_content      [INFO   ]  dupradar: Found 5 samples (linegraph)
[2024-07-04 09:19:42,480] multiqc.modules.picard.picard                      [INFO   ]  Found 5 MarkDuplicates reports
[2024-07-04 09:19:44,520] multiqc.modules.qualimap.qualimap                  [INFO   ]  Found 5 RNASeq reports
[2024-07-04 09:19:45,359] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 read_distribution reports
[2024-07-04 09:19:46,358] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 3 inner_distance reports
[2024-07-04 09:19:47,532] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 read_duplication reports
[2024-07-04 09:19:49,047] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 junction_annotation reports
[2024-07-04 09:19:50,720] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 junction_saturation reports
[2024-07-04 09:19:51,132] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 infer_experiment reports
[2024-07-04 09:19:51,136] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 bam_stat reports
[2024-07-04 09:19:51,141] multiqc.modules.salmon.salmon                      [INFO   ]  Found 5 meta reports
[2024-07-04 09:19:51,142] multiqc.modules.salmon.salmon                      [INFO   ]  Found 5 fragment length distributions
[2024-07-04 09:19:51,142] multiqc.modules.salmon.salmon                      [INFO   ]  Found 5 library format counts reports
[2024-07-04 09:19:52,525] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 stats reports
[2024-07-04 09:19:52,528] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 flagstat reports
[2024-07-04 09:19:53,797] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 idxstats reports
[2024-07-04 09:19:53,803] multiqc.modules.star.star                          [INFO   ]  Found 5 reports
[2024-07-04 09:19:54,720] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/WT_REP1_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-07-04 09:19:54,722] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/RAP1_IAA_30M_REP1_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-07-04 09:19:54,723] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/RAP1_UNINDUCED_REP2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-07-04 09:19:54,724] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/WT_REP1_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-07-04 09:19:54,726] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/WT_REP2_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
